Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
2,MNQ 12-25,BX-M49559101754!Bulenox!Bulenox,1 Scalp,Long,1,25484.25,25490.25,2025-10-24 9:21:26 AM,2025-10-24 9:22:21 AM,External,Close,$12.00,$24.00,$0.00,$0.00,$0.00,$0.00,$0.00,$12.00,$12.00,$0.00,0,
3,MNQ 12-25,BX-M49559101754!Bulenox!Bulenox,6 Gold Zone Set Up,Long,3,25515.25,25522.25,2025-10-24 9:38:22 AM,2025-10-24 9:38:56 AM,External,Target1,$42.00,$66.00,$0.00,$0.00,$0.00,$0.00,$0.00,$42.00,$42.00,$0.00,0,
5,MNQ 12-25,BX-M49559101754!Bulenox!Bulenox,6 Gold Zone Set Up,Long,3,25515.25,25515.50,2025-10-24 9:38:22 AM,2025-10-24 9:39:13 AM,Entry,Stop2,$1.50,$109.50,$0.00,$0.00,$0.00,$0.00,$0.00,$39.00,$93.00,$91.50,0,
6,MNQ 12-25,BX-M49559101754!Bulenox!Bulenox,6 Gold Zone Set Up,Long,3,25515.25,25515.50,2025-10-24 9:38:22 AM,2025-10-24 9:39:13 AM,Entry,External,$1.50,$111.00,$0.00,$0.00,$0.00,$0.00,$0.00,$39.00,$93.00,$91.50,0,
7,MNQ 12-25,BX-M49559101754!Bulenox!Bulenox,6 Gold Zone Set Up,Short,2,25491.00,25484.00,2025-10-24 9:48:02 AM,2025-10-24 9:48:07 AM,Entry,Target1,$28.00,$139.00,$0.00,$0.00,$0.00,$0.00,$0.00,$15.00,$96.00,$68.00,0,
8,MNQ 12-25,BX-M49559101754!Bulenox!Bulenox,6 Gold Zone Set Up,Short,2,25491.00,25484.00,2025-10-24 9:48:02 AM,2025-10-24 9:48:07 AM,Entry,External,$28.00,$167.00,$0.00,$0.00,$0.00,$0.00,$0.00,$15.00,$96.00,$68.00,0,
9,MNQ 12-25,BX-M49559101754!Bulenox!Bulenox,6 Gold Zone Set Up,Short,1,25491.00,25484.00,2025-10-24 9:48:02 AM,2025-10-24 9:48:07 AM,Entry,External,$14.00,$181.00,$0.00,$0.00,$0.00,$0.00,$0.00,$7.50,$48.00,$34.00,0,
10,MNQ 12-25,BX-M49559101754!Bulenox!Bulenox,6 Gold Zone Set Up,Short,1,25491.00,25484.00,2025-10-24 9:48:02 AM,2025-10-24 9:48:07 AM,Entry,Target1,$14.00,$195.00,$0.00,$0.00,$0.00,$0.00,$0.00,$7.50,$48.00,$34.00,0,
14,MNQ 12-25,BX-M49559101754!Bulenox!Bulenox,6 Gold Zone Set Up,Short,1,25491.00,25467.00,2025-10-24 9:48:02 AM,2025-10-24 9:50:16 AM,External,Target2,$48.00,$387.00,$0.00,$0.00,$0.00,$0.00,$0.00,$48.00,$48.00,$0.00,0,
15,MNQ 12-25,BX-M49559101754!Bulenox!Bulenox,6 Gold Zone Set Up,Short,1,25491.00,25467.00,2025-10-24 9:48:02 AM,2025-10-24 9:50:16 AM,External,Target2,$48.00,$435.00,$0.00,$0.00,$0.00,$0.00,$0.00,$48.00,$48.00,$0.00,0,
16,MNQ 12-25,BX-M49559101754!Bulenox!Bulenox,6 Gold Zone Set Up,Short,1,25491.00,25467.00,2025-10-24 9:48:02 AM,2025-10-24 9:50:16 AM,External,Target2,$48.00,$483.00,$0.00,$0.00,$0.00,$0.00,$0.00,$48.00,$48.00,$0.00,0,
